generation,scenario,seed,best,median,mean,arrival_ratio
0,Two doors,5,1.81832,0.14082,-0.00475817,0
1,Two doors,5,1.1584,0.230203,0.0824924,0
2,Two doors,5,1.32515,0.267785,0.0872205,0
3,Two doors,5,1.16713,0.226164,0.129086,0
4,Two doors,5,1.36241,0.275074,0.138175,0
5,Two doors,5,1.23002,0.326603,0.190144,0
6,Two doors,5,1.36586,0.409202,0.24268,0
7,Two doors,5,1.29587,0.411292,0.268428,0
8,Two doors,5,1.29209,0.3657,0.269755,0
9,Two doors,5,1.38133,0.547294,0.424322,0
10,Two doors,5,1.43373,0.762222,0.573754,0
11,Two doors,5,1.34102,0.876753,0.763829,0
12,Two doors,5,1.37876,0.864843,0.789435,0
13,Two doors,5,1.58365,0.839256,0.764525,0
14,Two doors,5,1.35427,0.840859,0.751941,0
15,Two doors,5,1.37871,0.856464,0.768642,0
16,Two doors,5,1.5661,0.836697,0.777502,0
17,Two doors,5,1.49881,0.84544,0.770827,0
18,Two doors,5,1.49659,0.79381,0.703347,0
19,Two doors,5,1.51564,0.814511,0.717734,0
20,Two doors,5,1.46019,0.80851,0.716137,0
21,Two doors,5,1.63446,0.86997,0.73587,0
22,Two doors,5,1.8164,0.881057,0.746367,0
23,Two doors,5,1.66907,0.812277,0.65277,0
24,Two doors,5,1.74568,0.76877,0.641719,0
25,Two doors,5,2.19511,0.776569,0.647908,0
26,Two doors,5,1.61728,0.768883,0.643113,0
27,Two doors,5,2.09809,0.816847,0.714849,0
28,Two doors,5,2.05801,0.820712,0.720689,0
29,Two doors,5,1.74192,0.814103,0.737723,0
30,Two doors,5,1.88856,0.8205,0.713437,0
31,Two doors,5,1.67081,0.78586,0.691033,0
32,Two doors,5,1.61714,0.80345,0.684531,0
33,Two doors,5,1.64689,0.815441,0.730139,0
34,Two doors,5,1.58326,0.75102,0.641223,0
35,Two doors,5,1.78714,0.776442,0.644982,0
36,Two doors,5,1.85424,0.829149,0.710562,0
37,Two doors,5,2.20593,0.822701,0.675377,0
38,Two doors,5,2.11549,0.818411,0.724921,0
39,Two doors,5,1.83533,0.785328,0.665916,0
