generation,scenario,seed,best,median,mean,arrival_ratio
0,Two doors,5,1.20422,0.208381,-0.00792664,0
1,Two doors,5,1.46612,0.249751,0.0610446,0
2,Two doors,5,1.38356,0.300775,0.162251,0
3,Two doors,5,1.75042,0.291737,0.126959,0
4,Two doors,5,1.30065,0.341676,0.195249,0
5,Two doors,5,1.25873,0.292995,0.159238,0
6,Two doors,5,1.46508,0.400439,0.339797,0
7,Two doors,5,1.7215,0.362878,0.24466,0
8,Two doors,5,1.38591,0.330126,0.19233,0
9,Two doors,5,1.25612,0.301028,0.199377,0
10,Two doors,5,1.54511,0.306084,0.264409,0
11,Two doors,5,1.575,0.421494,0.276877,0
12,Two doors,5,1.53555,0.421926,0.29838,0
13,Two doors,5,2.0117,0.472504,0.342412,0
14,Two doors,5,1.64191,0.568998,0.444932,0
15,Two doors,5,1.69836,0.700068,0.592593,0
16,Two doors,5,1.50273,0.74715,0.649045,0
17,Two doors,5,1.61879,0.796016,0.718854,0
18,Two doors,5,1.74788,0.825924,0.747329,0
19,Two doors,5,1.64291,0.790206,0.733241,0
20,Two doors,5,1.54433,0.830053,0.797578,0
21,Two doors,5,1.60825,0.853322,0.778587,0
22,Two doors,5,1.83417,0.832507,0.794681,0
23,Two doors,5,1.72934,0.851472,0.767202,0
24,Two doors,5,1.64895,0.834265,0.774278,0
25,Two doors,5,1.63335,0.77362,0.735915,0
26,Two doors,5,1.64767,0.837664,0.771797,0
27,Two doors,5,1.71376,0.767407,0.723677,0
28,Two doors,5,1.65491,0.861491,0.803942,0
29,Two doors,5,1.73903,0.799026,0.750383,0
30,Two doors,5,1.73085,0.787956,0.738387,0
31,Two doors,5,1.7629,0.844402,0.816788,0
32,Two doors,5,1.77901,0.803691,0.736068,0
33,Two doors,5,1.64108,0.825561,0.758769,0
34,Two doors,5,1.73033,0.875355,0.759749,0
35,Two doors,5,1.69962,0.808035,0.762831,0
36,Two doors,5,1.95806,0.815485,0.765029,0
37,Two doors,5,1.51486,0.821601,0.752528,0
38,Two doors,5,1.68697,0.795071,0.732433,0
39,Two doors,5,1.82077,0.800776,0.747818,0
